time,x,y,theta
1.45,0.002241,-0.013473834,0.016290755
1.46,0.002091033,-0.013439647,0.016284331
1.47,0.002087171,-0.01345539,0.016278726
1.48,0.002210757,-0.013520651,0.016264831
1.49,0.002258625,-0.013544429,0.016254392
1.5,0.00219757,-0.013484601,0.016243162
1.51,0.002078451,-0.0134652,0.016233605
1.52,0.002201611,-0.013542962,0.016232634
1.53,0.00220701,-0.013540269,0.016234264
1.54,0.002165698,-0.013490456,0.016252444
1.55,0.002134181,-0.013437477,0.016258604
1.56,0.002136477,-0.013462156,0.016258574
1.57,0.00221141,-0.013501984,0.016258763
1.58,0.002176387,-0.013469823,0.016281953
1.59,0.002157687,-0.01345867,0.01629509
1.6,0.002147635,-0.013480846,0.016302226
1.61,0.002195835,-0.013519155,0.01630302
1.62,0.002139578,-0.013509153,0.016314201
1.63,0.002152926,-0.013536101,0.016317619
1.64,0.002189368,-0.013535514,0.016311405
1.65,0.002210689,-0.013498124,0.016314723
1.66,0.002150617,-0.013491387,0.016330757
1.67,0.00215431,-0.013522027,0.016327946
1.68,0.002212395,-0.013521573,0.016308073
1.69,0.002200387,-0.013508568,0.016296733
1.7,0.002149717,-0.013520209,0.0163008
1.71,0.002121225,-0.013470033,0.016303637
1.72,0.002212994,-0.013455158,0.0162895
1.73,0.002170535,-0.013508581,0.016285993
1.74,0.002159832,-0.013485512,0.016276375
1.75,0.002133456,-0.013458269,0.016274614
1.76,0.00217945,-0.013483863,0.016258066
1.77,0.00213912,-0.013537205,0.016252551
1.78,0.002178875,-0.013484001,0.016266943
1.79,0.002146948,-0.013472773,0.016276203
1.8,0.002167853,-0.013508465,0.016272902
1.81,0.002166906,-0.013557846,0.016268232
1.82,0.00216474,-0.013518981,0.016269335
1.83,0.002185101,-0.013520374,0.016265581
1.84,0.002202707,-0.013512961,0.016262801
1.85,0.002190072,-0.013504249,0.016264763
1.86,0.00214068,-0.013471249,0.016279532
1.87,0.002191549,-0.013508878,0.016300805
1.88,0.00220049,-0.013496703,0.016298139
1.89,0.002191099,-0.013439465,0.016297202
1.9,0.002094977,-0.013442084,0.016293855
1.91,0.002119636,-0.013475889,0.016291514
1.92,0.002186427,-0.013470872,0.016290343
1.93,0.002154954,-0.013497191,0.01629764
1.94,0.002133038,-0.013546187,0.016313858
1.95,0.002188765,-0.013520626,0.016313278
1.96,0.002196296,-0.013467013,0.016301706
1.97,0.002104358,-0.013521721,0.016282438
1.98,0.00217312,-0.01355575,0.016280086
1.99,0.002188155,-0.013519011,0.016283235
2,0.002182861,-0.013459155,0.016286986
2.01,0.002113882,-0.013470378,0.016303567
2.02,0.002190477,-0.013544662,0.016296721
2.03,0.002235085,-0.013508503,0.016289257
2.04,0.002191105,-0.013469224,0.016285476
2.05,0.002122443,-0.0134832,0.016272474
2.06,0.002155283,-0.013505265,0.016264
2.07,0.002172262,-0.013462903,0.016289219
2.08,0.002123136,-0.013444375,0.016302083
2.09,0.002161069,-0.013454419,0.016289973
2.1,0.002158917,-0.013502344,0.016273157
2.11,0.002161297,-0.013500432,0.016251476
2.12,0.002155799,-0.013453797,0.016268288
2.13,0.002178189,-0.013518164,0.016256473
2.14,0.002160494,-0.013554774,0.016242544
2.15,0.002179929,-0.013530626,0.016261283
2.16,0.002170613,-0.013520284,0.016277529
2.17,0.002168331,-0.013520861,0.016262132
2.18,0.002205234,-0.013552186,0.016258273
2.19,0.002220976,-0.013546378,0.016265766
2.2,0.002169156,-0.013495268,0.01628188
2.21,0.002090036,-0.013436773,0.016289054
2.22,0.00221959,-0.013488045,0.016279324
2.23,0.002223092,-0.01348054,0.016290245
2.24,0.002120758,-0.013428899,0.016295853
2.25,0.002079106,-0.013435893,0.01629214
2.26,0.002179139,-0.013457338,0.016278097
2.27,0.002144546,-0.01351536,0.016279636
2.28,0.002102652,-0.013504277,0.01627403
2.29,0.00216837,-0.013548783,0.016260328
2.3,0.002209086,-0.013559616,0.016242458
2.31,0.002170872,-0.01352683,0.016240855
2.32,0.002111961,-0.013543298,0.016250252
2.33,0.002239007,-0.013542949,0.016257543
2.34,0.002210062,-0.013507552,0.016257365
2.35,0.002117924,-0.013441437,0.016252637
2.36,0.002066802,-0.013457083,0.016253263
2.37,0.002209029,-0.013486273,0.016258612
2.38,0.002181098,-0.013488769,0.016269987
2.39,0.002117044,-0.013478803,0.016282948
2.4,0.002120241,-0.013484506,0.016293033
2.41,0.00216655,-0.013528712,0.016288861
2.42,0.002168243,-0.013481891,0.016279355
2.43,0.002131104,-0.013491841,0.016267983
2.44,0.002173539,-0.013503455,0.016264251
2.45,0.002186615,-0.013509949,0.0162592
2.46,0.002162113,-0.0134745,0.016271371
2.47,0.002142779,-0.013474991,0.016264601
2.48,0.002183831,-0.013498325,0.016238116
2.49,0.002203487,-0.013486791,0.016229252
2.5,0.002135938,-0.013447557,0.016231607
2.51,0.002091567,-0.013451811,0.016243544
2.52,0.002207997,-0.013537239,0.01625141
2.53,0.002204406,-0.013527393,0.016263102
2.54,0.00212107,-0.013503997,0.016280789
2.55,0.002137622,-0.01347018,0.016290017
2.56,0.002154356,-0.013513805,0.016276621
2.57,0.002146578,-0.013537209,0.016285371
2.58,0.002173727,-0.01349187,0.016302907
2.59,0.002151726,-0.013460703,0.016300918
2.6,0.002139718,-0.013465716,0.01629832
2.61,0.002130722,-0.013454567,0.016294271
2.62,0.002158646,-0.013440869,0.016290404
2.63,0.002137265,-0.013479983,0.016281334
2.64,0.002157562,-0.01350449,0.016273404
2.65,0.002166029,-0.013505288,0.016275208
2.66,0.002171503,-0.013475577,0.016287346
2.67,0.002140958,-0.013545641,0.01627715
2.68,0.00218879,-0.013541383,0.016269514
2.69,0.002213005,-0.013488071,0.01628436
2.7,0.002126829,-0.013455465,0.016295772
2.71,0.002088838,-0.013484084,0.016296063
2.72,0.002218083,-0.013537509,0.016308565
2.73,0.002180471,-0.013461576,0.016326088
2.74,0.002113583,-0.013451293,0.016334797
2.75,0.002116046,-0.01348155,0.016329499
2.76,0.002175949,-0.013511837,0.016313234
2.77,0.002143456,-0.013440696,0.016313811
2.78,0.002121638,-0.013490845,0.016307543
2.79,0.002189053,-0.013536392,0.016295119
2.8,0.002203642,-0.013494465,0.016293438
2.81,0.00212089,-0.013447002,0.016297031
2.82,0.002140445,-0.013537257,0.016283495
2.83,0.00222941,-0.013560362,0.016263006
2.84,0.002207267,-0.013498384,0.01625311
2.85,0.002134715,-0.013443027,0.016251581
2.86,0.002078822,-0.013467102,0.016255452
2.87,0.002226129,-0.01349411,0.016252516
2.88,0.002192484,-0.013477044,0.016257326
2.89,0.002111037,-0.013459744,0.016263055
2.9,0.002100606,-0.013474368,0.016259565
2.91,0.002210391,-0.013491936,0.016262377
2.92,0.002146945,-0.013453397,0.016269074
2.93,0.002129494,-0.013504344,0.016273498
2.94,0.002252513,-0.013471078,0.016274474
2.95,0.00216053,-0.013402166,0.016284923
2.96,0.002072139,-0.013417986,0.016293166
2.97,0.002121208,-0.013464978,0.016300125
2.98,0.002242548,-0.013506522,0.016309675
2.99,0.002213899,-0.013523277,0.016319704
3,0.002108472,-0.013502281,0.01633163
3.01,0.002082757,-0.01349941,0.016334435
3.02,0.002180381,-0.013536686,0.016326497
3.03,0.002237104,-0.013560448,0.016335405
3.04,0.002135316,-0.01354266,0.016332017
3.05,0.002106655,-0.013478786,0.016328081
3.06,0.002136956,-0.013459736,0.016327201
3.07,0.002136814,-0.013512275,0.016331901
3.08,0.002122823,-0.013504437,0.016339899
3.09,0.002154982,-0.013459594,0.016331781
3.1,0.002196255,-0.013441943,0.016317572
3.11,0.002157125,-0.013463921,0.016306473
3.12,0.002103789,-0.013499314,0.016300734
3.13,0.002142364,-0.013477325,0.016286267
3.14,0.00216049,-0.013477905,0.016292701
3.15,0.002193259,-0.013525113,0.016297347
3.16,0.002171615,-0.013535228,0.016299512
3.17,0.002167101,-0.013536373,0.016295797
3.18,0.002129202,-0.013527841,0.016280484
3.19,0.00215529,-0.013472041,0.016269254
3.2,0.002144289,-0.013483584,0.016261829
3.21,0.002139516,-0.013528151,0.016255177
3.22,0.002136911,-0.013547303,0.016253755
3.23,0.002185812,-0.013516414,0.016252843
3.24,0.002162974,-0.013456802,0.016247237
3.25,0.002110357,-0.01343305,0.016240079
3.26,0.002136561,-0.013497094,0.016225498
3.27,0.002195352,-0.013522767,0.016218702
3.28,0.002230261,-0.013466644,0.016214737
3.29,0.002107829,-0.013440223,0.016225872
3.3,0.00208856,-0.013504778,0.016233003
3.31,0.002164325,-0.013564371,0.016239952
3.32,0.002166254,-0.013534024,0.016254874
3.33,0.002108522,-0.013492996,0.016267088
3.34,0.002104842,-0.013518115,0.016261335
3.35,0.002172765,-0.013540969,0.016253324
3.36,0.002207413,-0.013515572,0.016260038
3.37,0.002165197,-0.013502335,0.016262109
3.38,0.002109509,-0.013521993,0.016267986
3.39,0.00215311,-0.01352015,0.016274006
3.4,0.002186859,-0.013497316,0.016278826
3.41,0.002163731,-0.013443977,0.016279569
