time,odo_x,odo_y,odo_theta,odo_v,odo_w,enc_left,enc_right,,
5475,0.17163959,-0.33202489,-2.19222009,0.12912688,-0.56842353,15885,1997,16150,5475
5525,0.16788075,-0.33727423,-2.22064127,0.12022158,-0.56842353,15906,2003,16200,5525
5578,0.16424367,-0.34206011,-2.25474668,0.16920074,-0.68210824,15934,2013,16253,5578
5628,0.15889811,-0.34861734,-2.28695735,0.11131628,-0.64421334,15955,2017,16303,5628
5678,0.15524419,-0.35281581,-2.31537852,0.12022158,-0.56842353,15976,2023,16353,5678
5728,0.15117069,-0.35723618,-2.34190495,0.11576893,-0.53052863,15996,2029,16403,5728
5778,0.14713655,-0.3613873,-2.37222088,0.12467423,-0.60631843,16018,2035,16453,5778
5828,0.14265858,-0.365724,-2.41011578,0.16029544,-0.75789804,16046,2043,16503,5828
5878,0.13597833,-0.37172005,-2.43853695,0.10734069,-0.50752101,16067,2049,16553,5878
5928,0.13188398,-0.37519012,-2.46695813,0.12022158,-0.56842353,16088,2055,16603,5928
5978,0.1272836,-0.37886962,-2.50485303,0.16356677,-0.77336535,16116,2063,16653,5978
6028,0.1207079,-0.38373227,-2.53327421,0.12022158,-0.56842353,16137,2069,16703,6028
6078,0.11587381,-0.38709883,-2.56169539,0.12267508,-0.58002401,16158,2075,16753,6078
6128,0.11074281,-0.39045974,-2.59011656,0.12022158,-0.56842353,16179,2081,16803,6128
6178,0.10562286,-0.39360922,-2.61853774,0.12022158,-0.56842353,16200,2087,16853,6178
6234,0.10051962,-0.39655187,-2.65643264,0.16356677,-0.77336535,16228,2095,16909,6234
6284,0.09328506,-0.40036584,-2.68106433,0.12912688,-0.49263373,16249,2103,16959,6284
6334,0.08750135,-0.40323518,-2.713275,0.11131628,-0.64421334,16270,2107,17009,6334
6384,0.08243832,-0.40554689,-2.74169617,0.12022158,-0.56842353,16291,2113,17059,6384
6434,0.07701225,-0.40784034,-2.77011735,0.12267508,-0.58002401,16312,2119,17109,6434
6484,0.07129686,-0.41006683,-2.80801225,0.16029544,-0.75789804,16340,2127,17159,6484
6534,0.06372389,-0.41269109,-2.83643343,0.12022158,-0.56842353,16361,2133,17209,6534
6584,0.05799053,-0.41449709,-2.8648546,0.12022158,-0.56842353,16382,2139,17259,6584
6634,0.05220816,-0.41613943,-2.89327578,0.12022158,-0.56842353,16403,2145,17309,6634
6684,0.04638146,-0.41761679,-2.91980221,0.11576893,-0.53052863,16423,2151,17359,6684
6734,0.04084773,-0.41886465,-2.95959186,0.16811029,-0.81203362,16452,2159,17409,6734
6784,0.03258105,-0.42038603,-2.98801304,0.12022158,-0.56842353,16473,2165,17459,6784
6834,0.02664072,-0.42130558,-3.01643421,0.12022158,-0.56842353,16494,2171,17509,6834
6884,0.02067666,-0.42205596,-3.04485539,0.12022158,-0.56842353,16515,2177,17559,6884
6953,0.01457403,-0.42264816,-3.0789608,0.16588308,-0.66873357,16543,2187,17628,6953
7003,0.00430944,-0.42329189,-3.12064519,0.12208882,-0.67232891,16571,2193,17678,7003
7053,-0.0016716,-0.4234172,-3.14906637,0.12267508,-0.58002401,16592,2199,17728,7053
7103,-0.00780518,-0.42337135,-3.17748755,0.12022158,-0.56842353,16613,2205,17778,7103
7153,-0.01381239,-0.42315563,-3.20780347,0.12467423,-0.60631843,16635,2211,17828,7153
7203,-0.02003244,-0.4227432,-3.23243516,0.12022158,-0.49263373,16655,2218,17878,7203
