time,odo_x,odo_y,odo_theta,odo_v,odo_w,enc_left,enc_right
5175,0.43562849,0.01790677,0.06442133,0.2359905,0.0378949,985,974
5225,0.44740354,0.01866639,0.06442133,0.17810604,0,1005,994
5275,0.45629037,0.01923968,0.06442133,0.17810604,0,1025,1014
5334,0.4651772,0.01981298,0.07768455,0.2092746,0.26526432,1045,1041
5384,0.47602666,0.02065751,0.06442133,0.20122557,-0.25506184,1072,1061
5434,0.48606707,0.02130522,0.06442133,0.17810604,0,1092,1081
5484,0.4949539,0.02187852,0.06442133,0.16920074,0,1111,1100
5534,0.50339639,0.02242315,0.06631608,0.17365339,0.0378949,1130,1120
5584,0.51205997,0.02299853,0.06631608,0.18701134,0,1151,1141
5634,0.52120338,0.02360577,0.07010557,0.24535016,0.07733654,1177,1169
5684,0.53368551,0.02448228,0.07010557,0.17461376,0,1197,1189
5734,0.54239475,0.02509384,0.07010557,0.16920074,0,1216,1208
5784,0.550834,0.02568645,0.07389506,0.17810604,0.0757898,1235,1229
5834,0.55953738,0.02633076,0.07389506,0.18174086,0,1255,1249
5884,0.56859963,0.02700164,0.07389506,0.23153785,0,1281,1275
5934,0.57991402,0.02783924,0.0757898,0.17719734,0.03866827,1300,1295
5984,0.58857177,0.02849667,0.0757898,0.18174086,0,1320,1315
6034,0.59763272,0.02918472,0.08905302,0.2092746,0.26526432,1340,1342
6084,0.60805499,0.03011531,0.07957929,0.15584279,-0.18947451,1360,1357
6134,0.61582247,0.03073475,0.07957929,0.23153785,0,1386,1383
6184,0.62736272,0.03165506,0.08147404,0.17365339,0.0378949,1405,1403
6234,0.63601659,0.03236169,0.08147404,0.17810604,0,1425,1423
6284,0.64489235,0.03308644,0.08336878,0.17365339,0.0378949,1444,1443
6334,0.65354486,0.03380946,0.08526353,0.17365339,0.0378949,1463,1463
6384,0.66219599,0.03454888,0.08715827,0.2359905,0.0378949,1489,1490
6434,0.67371563,0.03555546,0.08905302,0.17719734,0.03866827,1508,1510
6484,0.68342287,0.03642222,0.09094777,0.15786672,0.03444991,1527,1530
6534,0.69128358,0.03713911,0.09094777,0.23153785,0,1553,1556
6584,0.70281263,0.03819055,0.09473726,0.17810604,0.0757898,1572,1577
6634,0.71150069,0.0390161,0.09852675,0.18174086,0.07733654,1591,1598
6684,0.72054366,0.03990997,0.11178996,0.2092746,0.26526432,1611,1625
6734,0.73094208,0.04107728,0.09852675,0.13803218,-0.26526432,1630,1637
6784,0.73767285,0.04174259,0.10042149,0.24080664,0.03866827,1656,1664
6834,0.74965252,0.04294967,0.10231624,0.17365339,0.0378949,1675,1684
6884,0.75828978,0.0438365,0.10610573,0.17810604,0.0757898,1694,1705
6934,0.767145,0.04477963,0.10610573,0.16920074,0,1713,1724
6984,0.77538921,0.04565769,0.10989522,0.18174086,0.07733654,1732,1745
7034,0.78424079,0.04663437,0.11178996,0.24080664,0.03866827,1758,1772
7084,0.79620597,0.04797755,0.11178996,0.18701134,0,1779,1793
7134,0.80531233,0.04899982,0.11178996,0.17265381,0,1798,1812
7185,0.81389113,0.04996285,0.11368471,0.17365339,0.0378949,1817,1832
7235,0.82251775,0.05094782,0.11557945,0.18255869,0.0378949,1837,1853
7285,0.83140345,0.05197942,0.1174742,0.24989368,0.03866827,1864,1881
7336,0.84381202,0.05344385,0.1174742,0.16920074,0,1883,1900
7386,0.85221375,0.0544354,0.13073741,0.2092746,0.26526432,1903,1927
7436,0.86238069,0.05577222,0.12126369,0.15902325,-0.19334134,1923,1942
7486,0.87027346,0.05673405,0.12126369,0.17810604,0,1943,1962
7536,0.87893657,0.05778975,0.12126369,0.23626311,0,1969,1988
7586,0.89042845,0.05919017,0.12126369,0.1908279,0,1990,2009
7636,0.89989978,0.06034436,0.12126369,0.17810604,0,2010,2029
7686,0.90873969,0.0614216,0.12315843,0.17365339,0.0378949,2029,2049
7736,0.91718425,0.06246691,0.12505318,0.17719734,0.03866827,2048,2069
7786,0.92597493,0.06357198,0.13073741,0.24489581,0.11368471,2074,2098
7836,0.93787242,0.06513635,0.12884267,0.19537142,-0.03866827,2096,2119
7886,0.94756002,0.06639148,0.13073741,0.18255869,0.0378949,2116,2140
7936,0.95642906,0.06755765,0.13263216,0.17719734,0.03866827,2135,2160
7986,0.96521111,0.06872931,0.1345269,0.18255869,0.0378949,2155,2181
8037,0.97425657,0.06995356,0.14779012,0.27161171,0.26526432,2182,2215
8087,0.98768911,0.07195334,0.13831639,0.14693748,-0.18947451,2201,2229
